force,pwm
-1.0,1104
-0.99,1110
-0.98,1113
-0.97,1116
-0.96,1119
-0.95,1121
-0.94,1123
-0.93,1127
-0.92,1129
-0.91,1132
-0.9,1135
-0.89,1138
-0.88,1141
-0.87,1144
-0.86,1147
-0.85,1149
-0.84,1151
-0.83,1154
-0.82,1157
-0.81,1160
-0.8,1162
-0.79,1166
-0.78,1169
-0.77,1171
-0.76,1174
-0.75,1177
-0.74,1179
-0.73,1182
-0.72,1184
-0.71,1188
-0.7,1191
-0.69,1195
-0.68,1197
-0.67,1201
-0.66,1205
-0.65,1207
-0.64,1209
-0.63,1211
-0.62,1216
-0.61,1218
-0.6,1221
-0.59,1223
-0.58,1227
-0.57,1231
-0.56,1233
-0.55,1235
-0.54,1239
-0.53,1241
-0.52,1243
-0.51,1246
-0.5,1248
-0.49,1252
-0.48,1255
-0.47,1258
-0.46,1261
-0.45,1264
-0.44,1269
-0.43,1273
-0.42,1276
-0.41,1280
-0.4,1283
-0.39,1288
-0.38,1290
-0.37,1294
-0.36,1297
-0.35,1300
-0.34,1303
-0.33,1308
-0.32,1311
-0.31,1316
-0.3,1319
-0.29,1324
-0.28,1327
-0.27,1332
-0.26,1336
-0.25,1340
-0.24,1344
-0.23,1348
-0.22,1351
-0.21,1356
-0.2,1359
-0.19,1365
-0.18,1370
-0.17,1374
-0.16,1378
-0.15,1382
-0.14,1387
-0.13,1392
-0.12,1396
-0.11,1401
-0.1,1407
-0.09,1412
-0.08,1416
-0.07,1422
-0.06,1427
-0.05,1433
-0.04,1440
-0.03,1446
-0.02,1454
-0.01,1462
0.0,1494
0.01,1521
0.02,1540
0.03,1547
0.04,1553
0.05,1558
0.06,1564
0.07,1569
0.08,1573
0.09,1577
0.1,1581
0.11,1586
0.12,1590
0.13,1594
0.14,1598
0.15,1602
0.16,1605
0.17,1608
0.18,1612
0.19,1617
0.2,1620
0.21,1623
0.22,1627
0.23,1629
0.24,1632
0.25,1637
0.26,1641
0.27,1645
0.28,1648
0.29,1652
0.3,1655
0.31,1658
0.32,1661
0.33,1664
0.34,1666
0.35,1670
0.36,1673
0.37,1676
0.38,1680
0.39,1683
0.4,1686
0.41,1689
0.42,1692
0.43,1695
0.44,1698
0.45,1701
0.46,1703
0.47,1706
0.48,1709
0.49,1711
0.5,1714
0.51,1717
0.52,1720
0.53,1723
0.54,1726
0.55,1728
0.56,1731
0.57,1734
0.58,1736
0.59,1738
0.6,1740
0.61,1744
0.62,1748
0.63,1749
0.64,1751
0.65,1755
0.66,1757
0.67,1759
0.68,1761
0.69,1762
0.7,1764
0.71,1766
0.72,1768
0.73,1771
0.74,1773
0.75,1774
0.76,1778
0.77,1781
0.78,1782
0.79,1783
0.8,1788
0.81,1789
0.82,1791
0.83,1793
0.84,1796
0.85,1798
0.86,1800
0.87,1803
0.88,1805
0.89,1806
0.9,1808
0.91,1811
0.92,1814
0.93,1816
0.94,1818
0.95,1819
0.96,1823
0.97,1825
0.98,1828
0.99,1830
1.0,1832
